SKU,Item Name,Category,Subcategory,Total Amount,Average Price,Total Quantity,Apr-2025,May-2025,Jun-2025
NEW_84,Veg Cheese Sandwich,Sandwich (3 Layer),,3127.11,148.91,21,0.0,13.0,8.0
NEW_85,Basket Sandwich,Sandwich (3 Layer),,12485.14,231.21,54,0.0,39.0,15.0
NEW_86,French Fries,Fries & Maggi,,6503.2,104.89,62,0.0,36.0,26.0
NEW_87,Peri Peri Fries,Fries & Maggi,,21421.77,139.1,154,0.0,108.0,46.0
NEW_88,Cheese Fries,Fries & Maggi,,3783.0,171.95,22,0.0,21.0,1.0
NEW_88,Cheesy Fries,Fries & Maggi,,1295.0,185.0,7,0.0,,7.0
NEW_9,Cold Coffee,Cold Coffee,,25998.64,142.07,183,0.0,113.0,70.0
NEW_90,Chilli Garlic Maggi (Normal),Fries & Maggi,,639.06,159.77,4,0.0,3.0,1.0
NEW_91,Chilli Garlic Maggi (Spicy),Fries & Maggi,,2132.97,142.2,15,0.0,7.0,8.0
NEW_92,Veg Maggi,Fries & Maggi,,1401.47,116.79,12,0.0,8.0,4.0
NEW_93,C3 Maggi,Fries & Maggi,,278.0,139.0,2,0.0,1.0,1.0
NEW_94,Veg Cheese Maggi,Fries & Maggi,,435.0,145.0,3,0.0,2.0,1.0
NEW_95,Plain Maggi,Fries & Maggi,,912.0,101.33,9,0.0,5.0,4.0
NEW_96,Masala Fries,Fries & Maggi,,250.68,125.34,2,0.0,2.0,
NEW_97,Plain Cheese Maggi,Fries & Maggi,,679.95,113.33,6,0.0,5.0,1.0
NEW_98,Paneer Chilli Garlic Wrap,Healthy Choice,,160.0,160.0,1,0.0,1.0,
NEW_99,Cottage Cheese Burritoes With Corn Salsa,Healthy Choice,,887.0,221.75,4,0.0,4.0,
